year,RegNo,category,income,measure,type
2003,Samegrelo-Zemo Svaneti,mean_income,260.1451417287696,Mean,Nominal values
2003,Samegrelo-Zemo Svaneti,median_income,187.85071262166497,Median,Nominal values
2003,Samegrelo-Zemo Svaneti,income_mean_infl,425.2614342393253,Mean,Adjusted to inflation (base: 2010 prices)
2003,Samegrelo-Zemo Svaneti,income_median_infl,307.0811276408856,Median,Adjusted to inflation (base: 2010 prices)
2003,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",mean_income,308.98439437627906,Mean,Nominal values
2003,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",median_income,247.1235091568033,Median,Nominal values
2003,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",income_mean_infl,505.0993681328251,Mean,Adjusted to inflation (base: 2010 prices)
2003,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",income_median_infl,403.9748628011953,Median,Adjusted to inflation (base: 2010 prices)
2003,Mtskheta-Mtianeti,mean_income,224.8867538878276,Mean,Nominal values
2003,Mtskheta-Mtianeti,median_income,168.76840243508246,Median,Nominal values
2003,Mtskheta-Mtianeti,income_mean_infl,367.6242533849608,Mean,Adjusted to inflation (base: 2010 prices)
2003,Mtskheta-Mtianeti,income_median_infl,275.88711592643074,Median,Adjusted to inflation (base: 2010 prices)
2004,Kakheti,mean_income,292.57876473838525,Mean,Nominal values
2004,Kakheti,median_income,212.83891661977023,Median,Nominal values
2004,Kakheti,income_mean_infl,452.6757768211199,Mean,Adjusted to inflation (base: 2010 prices)
2004,Kakheti,income_median_infl,329.3028528737229,Median,Adjusted to inflation (base: 2010 prices)
2004,Tbilisi,mean_income,277.4036791729424,Mean,Nominal values
2004,Tbilisi,median_income,217.1570822891861,Median,Nominal values
2004,Tbilisi,income_mean_infl,429.19699273094096,Mean,Adjusted to inflation (base: 2010 prices)
2004,Tbilisi,income_median_infl,335.98388798094595,Median,Adjusted to inflation (base: 2010 prices)
2004,Shida Kartli,mean_income,282.5615752093401,Mean,Nominal values
2004,Shida Kartli,median_income,202.81477552624875,Median,Nominal values
2004,Shida Kartli,income_mean_infl,437.1772526692405,Mean,Adjusted to inflation (base: 2010 prices)
2004,Shida Kartli,income_median_infl,313.7935733108954,Median,Adjusted to inflation (base: 2010 prices)
2004,Kvemo Kartli,mean_income,226.01870901536353,Mean,Nominal values
2004,Kvemo Kartli,median_income,174.1165351655708,Median,Nominal values
2004,Kvemo Kartli,income_mean_infl,349.69453361087767,Mean,Adjusted to inflation (base: 2010 prices)
2004,Kvemo Kartli,income_median_infl,269.39186062923426,Median,Adjusted to inflation (base: 2010 prices)
2004,Samtskhe-Javakheti,mean_income,295.03008691207333,Mean,Nominal values
2004,Samtskhe-Javakheti,median_income,213.9528472440298,Median,Nominal values
2004,Samtskhe-Javakheti,income_mean_infl,456.4684449944417,Mean,Adjusted to inflation (base: 2010 prices)
